,id,title,freq,rating,year,votes,runtime,type,certification,action,comedy,horror,thriller,adventure,mystery,drama,history,sci_fi,crime,romance,music,western,war,biography,fantasy,family,cast_summary,writers_summary,directors_summary,adj_freq,adj_rating,adj_year,adj_votes,adj_runtime,adj_cast_summary,adj_writers_summary,adj_directors_summary,adj_action,adj_comedy,adj_horror,adj_thriller,adj_adventure,adj_mystery,adj_drama,adj_history,adj_sci_fi,adj_crime,adj_romance,adj_music,adj_western,adj_war,adj_biography,adj_fantasy,adj_family,adj_type,adj_certification
573,tt2395427,Avengers: Age of Ultron,41,7.5,2015,483346.0,8460.0,feature,PG-13,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Robert Downey Jr.|Chris Evans|Mark Ruffalo|Chris Hemsworth,Joss Whedon|Stan Lee,Joss Whedon,0.153846153846,0.829268292683,1.0,0.918812920758,0.678321678322,0.0,0.0,0.0,-0.772727272727,-0.35,0.0681818181818,0.212121212121,0.586363636364,0.119696969697,-0.486363636364,0.0681818181818,-0.798484848485,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,-0.269696969697,-0.278787878788,1.0,0.0
257,tt1431045,Deadpool,39,8.1,2016,543164.0,6480.0,feature,R,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,Ryan Reynolds|Morena Baccarin|T.J. Miller|Ed Skrein,Rhett Reese|Paul Wernick,Tim Miller,0.145748987854,0.975609756098,0.988764044944,0.874830520189,0.909090909091,0.0,0.0,0.0,-0.772727272727,0.65,0.0681818181818,0.212121212121,0.586363636364,0.119696969697,-0.486363636364,0.0681818181818,-0.798484848485,0.125757575758,-0.836363636364,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,-0.269696969697,-0.278787878788,1.0,0.0
75,tt3076658,Creed,38,7.7,2015,159766.0,7980.0,feature,PG-13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Michael B. Jordan|Sylvester Stallone|Tessa Thompson|Phylicia Rashad,Ryan Coogler|Aaron Covington,Ryan Coogler,0.141700404858,0.878048780488,1.0,0.843268306025,0.734265734266,0.0,0.0,0.0,0.227272727273,-0.35,0.0681818181818,0.212121212121,-0.413636363636,0.119696969697,0.513636363636,0.0681818181818,0.201515151515,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,-0.269696969697,-0.278787878788,1.0,0.0
492,tt2294629,Frozen,37,7.6,2013,431393.0,6120.0,feature,PG,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,Kristen Bell|Idina Menzel|Jonathan Groff|Josh Gad,Jennifer Lee|Hans Christian Andersen,Chris Buck|Jennifer Lee,0.137651821862,0.853658536585,0.977528089888,0.957012420186,0.951048951049,0.0,0.0,0.0,0.227272727273,0.65,0.0681818181818,0.212121212121,0.586363636364,0.119696969697,-0.486363636364,0.0681818181818,0.201515151515,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,0.730303030303,0.721212121212,1.0,1.0
235,tt1217209,Brave,37,7.2,2012,280856.0,5580.0,feature,TV-PG,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,Kelly Macdonald|Billy Connolly|Emma Thompson|Julie Walters,Brenda Chapman|Mark Andrews,Mark Andrews|Brenda Chapman,0.137651821862,0.756097560976,0.966292134831,0.932302190223,0.986013986014,0.0,0.0,0.0,0.227272727273,0.65,0.0681818181818,0.212121212121,0.586363636364,0.119696969697,-0.486363636364,-0.931818181818,0.201515151515,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,0.730303030303,0.721212121212,1.0,0.0
53,tt2277860,Finding Dory,37,7.6,2016,100921.0,5820.0,feature,PG,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Ellen DeGeneres|Albert Brooks|Ed O'Neill|Kaitlin Olson,Andrew Stanton|Andrew Stanton,Andrew Stanton|Angus MacLane,0.137651821862,0.853658536585,0.988764044944,0.800001323487,0.986013986014,0.0,0.0,0.0,0.227272727273,0.65,0.0681818181818,0.212121212121,0.586363636364,0.119696969697,-0.486363636364,0.0681818181818,0.201515151515,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,-0.269696969697,0.721212121212,1.0,1.0
390,tt0382932,Ratatouille,37,8.0,2007,484881.0,6660.0,feature,G,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Brad Garrett|Lou Romano|Patton Oswalt|Ian Holm,Brad Bird|Jan Pinkava,Brad Bird|Jan Pinkava,0.137651821862,0.951219512195,0.910112359551,0.917684280803,0.888111888112,0.0,0.0,0.0,0.227272727273,0.65,0.0681818181818,0.212121212121,-0.413636363636,0.119696969697,-0.486363636364,0.0681818181818,0.201515151515,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,0.730303030303,0.721212121212,1.0,0.0
523,tt0478970,Ant-Man,35,7.4,2015,335340.0,7020.0,feature,PG-13,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Paul Rudd|Michael Douglas|Corey Stoll|Evangeline Lilly,Edgar Wright|Joe Cornish,Peyton Reed,0.12955465587,0.80487804878,1.0,0.972362658855,0.846153846154,0.0,0.0,0.0,-0.772727272727,0.65,0.0681818181818,0.212121212121,0.586363636364,0.119696969697,-0.486363636364,0.0681818181818,-0.798484848485,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,-0.269696969697,-0.278787878788,1.0,0.0
595,tt0317705,The Incredibles,35,8.0,2004,489646.0,6900.0,feature,PG,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Craig T. Nelson|Samuel L. Jackson|Holly Hunter|Jason Lee,Brad Bird,Brad Bird,0.12955465587,0.951219512195,0.876404494382,0.914180717683,0.86013986014,0.0,0.0,0.0,-0.772727272727,-0.35,0.0681818181818,0.212121212121,0.586363636364,0.119696969697,-0.486363636364,0.0681818181818,0.201515151515,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,-0.269696969697,0.721212121212,1.0,1.0
94,tt0120363,Toy Story 2,35,7.9,1999,394573.0,5520.0,feature,G,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,Tom Hanks|Tim Allen|Joan Cusack|Kelsey Grammer,John Lasseter|Pete Docter,John Lasseter|Ash Brannon,0.12955465587,0.926829268293,0.820224719101,0.984085073718,0.979020979021,0.0,0.5,0.0,0.227272727273,0.65,0.0681818181818,0.212121212121,0.586363636364,0.119696969697,-0.486363636364,0.0681818181818,0.201515151515,0.125757575758,0.163636363636,0.0318181818182,0.019696969697,0.0469696969697,0.0863636363636,0.730303030303,0.721212121212,1.0,0.0
