rating	family	certification	fantasy	writers_summary	year	id	biography	votes	directors_summary	cast_summary	title	sci_fi	crime	romance	music	comedy	type	war	horror	adventure	freq	thriller	mystery	creators	drama	history	action	runtime	western
7.3	1	G	1	Dan Scanlon|Daniel Gerson	2013	tt1453405	0	241479	Dan Scanlon	Billy Crystal|John Goodman|Steve Buscemi|Helen Mirren	Monsters University	0	0	0	0	1	feature	0	1	1	25	0	0	[]	0	0	0	6240	0
6.7	0	PG-13	0	Peter Craig|Danny Strong	2014	tt1951265	0	315107	Francis Lawrence	Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson	The Hunger Games: Mockingjay - Part 1	1	0	0	0	0	feature	0	0	1	7	1	0	[]	0	0	0	7380	0
7.6	0	PG-13	0	Simon Beaufoy|Michael Arndt	2013	tt1951264	0	508190	Francis Lawrence	Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Philip Seymour Hoffman	The Hunger Games: Catching Fire	1	0	0	0	0	feature	0	0	1	7	1	1	[]	0	0	1	8760	0
6.6	0	PG-13	0	Peter Craig|Danny Strong	2015	tt1951266	0	181804	Francis Lawrence	Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson	The Hunger Games: Mockingjay - Part 2	1	0	0	0	0	feature	0	0	1	31	1	0	[]	0	0	1	8220	0
6.3	0	PG-13	0	Brian Duffield|Akiva Goldsman	2015	tt2908446	0	161651	Robert Schwentke	Shailene Woodley|Ansel Elgort|Theo James|Kate Winslet	Insurgent	1	0	0	0	0	feature	0	0	1	15	1	0	[]	0	0	0	7140	0
8.1	0	PG	0	Sylvester Stallone	1976	tt0075148	0	385892	John G. Avildsen	Sylvester Stallone|Talia Shire|Burt Young|Carl Weathers	Rocky	0	0	0	0	0	feature	0	0	0	3	0	0	[]	1	0	0	7200	0
6.6	1	PG	1	Michael Berg|Jason Fuchs	2012	tt1667889	0	148950	Steve Martino|Mike Thurmeier	Ray Romano|Denis Leary|John Leguizamo|Aziz Ansari	Ice Age: Continental Drift	0	0	0	0	1	feature	0	0	1	8	0	0	[]	0	1	0	5280	0
6.8	1	PG	1	Bob Peterson|Peter Sohn	2015	tt1979388	0	69893	Peter Sohn	Jeffrey Wright|Frances McDormand|Maleah Nipay-Padilla|Ryan Teeple	The Good Dinosaur	0	0	0	0	1	feature	0	0	1	33	0	0	[]	1	1	0	5580	0
6.5	0	PG-13	0	Ed Solomon|Ed Solomon	2016	tt3110958	0	119142	Jon M. Chu	Jesse Eisenberg|Mark Ruffalo|Woody Harrelson|Dave Franco	Now You See Me 2	0	1	0	0	1	feature	0	0	1	10	1	1	[]	0	0	1	7740	0
7.1	0	PG-13	0	Thomas Hardy|David Nicholls	2015	tt2935476	0	31707	Thomas Vinterberg	Carey Mulligan|Matthias Schoenaerts|Michael Sheen|Tom Sturridge	Far from the Madding Crowd	0	0	1	0	0	feature	0	0	0	4	0	0	[]	1	0	0	7140	0
7.5	1	PG-13	1	Michael Goldenberg|J.K. Rowling	2007	tt0373889	0	365817	David Yates	Daniel Radcliffe|Emma Watson|Rupert Grint|Brendan Gleeson	Harry Potter and the Order of the Phoenix	0	0	0	0	0	feature	0	0	1	5	0	1	[]	0	0	0	8280	0
8.3	0	R	0	Quentin Tarantino	2009	tt0361748	0	911090	Quentin Tarantino	Brad Pitt|Diane Kruger|Eli Roth|Mélanie Laurent	Inglourious Basterds	0	0	0	0	0	feature	1	0	1	7	0	0	[]	1	0	0	9180	0
6.6	0	R	0	Glenn Ficarra|John Requa	2015	tt2381941	0	156332	Glenn Ficarra|John Requa	Will Smith|Margot Robbie|Rodrigo Santoro|Adrian Martinez	Focus	0	1	1	0	1	feature	0	0	0	17	0	0	[]	1	0	0	6300	0
5.8	1	PG	1	Jason Fuchs|J.M. Barrie	2015	tt3332064	0	44006	Joe Wright	Levi Miller|Hugh Jackman|Garrett Hedlund|Rooney Mara	Pan	0	0	0	0	0	feature	0	0	1	9	0	0	[]	0	0	0	6660	0
9	0	TV-14	1	Matt Duffer|Matt Duffer	2016	tt4574334	0	218026	Matt Duffer|Ross Duffer	Rob Morgan|Dacre Montgomery|Winona Ryder|David Harbour	Stranger Things	1	0	0	0	0	tv_series	0	1	0	4	1	1	[<Person: u'Matt Duffer' (u'nm1819972')>, <Person: u'Ross Duffer' (u'nm1819973')>]	1	0	0	3300	0
8.4	0	R	0	Guillaume Laurant|Jean-Pierre Jeunet	2001	tt0211915	0	547691	Jean-Pierre Jeunet	Audrey Tautou|Mathieu Kassovitz|Rufus|Lorella Cravotta	Amélie	0	0	1	0	1	feature	0	0	0	4	0	0	[]	0	0	0	7320	0
5.5	0	R	0	Eric Aronson|Kyril Bonfiglioli	2015	tt3045616	0	49166	David Koepp	Johnny Depp|Gwyneth Paltrow|Ewan McGregor|Olivia Munn	Mortdecai	0	1	1	0	1	feature	0	0	0	6	0	1	[]	0	0	1	6420	0
7.4	0	R	0	Paolo Sorrentino	2015	tt3312830	0	46500	Paolo Sorrentino	Michael Caine|Harvey Keitel|Rachel Weisz|Jane Fonda	Youth	0	0	1	1	1	feature	0	0	0	12	0	0	[]	1	0	0	7440	0
7	0	PG-13	0	Rosalind Wiseman|Tina Fey	2004	tt0377092	0	252132	Mark Waters	Lindsay Lohan|Jonathan Bennett|Rachel McAdams|Tina Fey	Mean Girls	0	0	0	0	1	feature	0	0	0	3	0	0	[]	0	0	0	5820	0
6.1	1	PG	1	Mary Rodgers|Heather Hach	2003	tt0322330	0	98980	Mark Waters	Jamie Lee Curtis|Lindsay Lohan|Mark Harmon|Harold Gould	Freaky Friday	0	0	1	1	1	feature	0	0	0	3	0	0	[]	0	0	0	5820	0
7.1	0	R	0	Joel Edgerton	2015	tt4178092	0	87888	Joel Edgerton	Jason Bateman|Rebecca Hall|Joel Edgerton|Allison Tolman	The Gift	0	0	0	0	0	feature	0	0	0	21	1	1	[]	0	0	0	6480	0
8.1	0	R	0	George Miller|Brendan McCarthy	2015	tt1392190	0	583740	George Miller	Tom Hardy|Charlize Theron|Nicholas Hoult|Zoë Kravitz	Mad Max: Fury Road	1	0	0	0	0	feature	0	0	1	67	1	0	[]	0	0	1	7200	0
8.2	1	PG	1	Pete Docter|Ronnie Del Carmen	2015	tt2096673	0	372928	Pete Docter|Ronnie Del Carmen	Amy Poehler|Bill Hader|Lewis Black|Mindy Kaling	Inside Out	0	0	0	0	1	feature	0	0	1	250	0	0	[]	1	0	0	5700	0
7.6	0	16	0	Sang-ho Yeon	2016	tt5700672	0	25217	Sang-ho Yeon	Yoo Gong|Soo-an Kim|Yu-mi Jeong|Dong-seok Ma	Train to Busan	0	0	0	0	0	feature	0	1	0	4	1	0	[]	1	0	1	7080	0
7.4	0	PG	0	Christopher Cleveland|Bettina Gilois	2015	tt2097298	1	24910	Niki Caro	Kevin Costner|Maria Bello|Ramiro Rodriguez|Carlos Pratts	McFarland, USA	0	0	0	0	0	feature	0	0	0	7	0	0	[]	1	0	0	7740	0
7.7	0	PG-13	0	Scott Neustadter|Michael H. Weber	2009	tt1022603	0	384522	Marc Webb	Zooey Deschanel|Joseph Gordon-Levitt|Geoffrey Arend|Chloë Grace Moretz	(500) Days of Summer	0	0	1	0	1	feature	0	0	0	8	0	0	[]	1	0	0	5700	0
7.3	0	PG-13	0	Gary Ross|Suzanne Collins	2012	tt1392170	0	713397	Gary Ross	Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Stanley Tucci	The Hunger Games	1	0	0	0	0	feature	0	0	1	6	1	0	[]	0	0	1	8520	0
6.7	0	PG-13	0	Alex Kurtzman|Roberto Orci	2014	tt1872181	0	328435	Marc Webb	Andrew Garfield|Emma Stone|Jamie Foxx|Paul Giamatti	The Amazing Spider-Man 2	1	0	0	0	0	feature	0	0	1	3	0	0	[]	0	0	1	8520	0
8.4	0	PG-13	0	Eric Heisserer|Ted Chiang	2016	tt2543164	0	56902	Denis Villeneuve	Amy Adams|Jeremy Renner|Forest Whitaker|Michael Stuhlbarg	Arrival	1	0	0	0	0	feature	0	0	0	7	1	1	[]	1	0	0	6960	0
7.1	0	R	0	Felix Herngren|Hans Ingemansson	2013	tt2113681	0	26817	Felix Herngren	Robert Gustafsson|Iwar Wiklander|David Wiberg|Mia Skäringer	The 100 Year-Old Man Who Climbed Out the Window and Disappeared	0	0	0	0	1	feature	0	0	1	4	0	0	[]	0	0	0	6840	0
7.9	0	R	0	Troy Duffy	1999	tt0144117	0	200193	Troy Duffy	Willem Dafoe|Sean Patrick Flanery|Norman Reedus|David Della Rocco	The Boondock Saints	0	1	0	0	0	feature	0	0	0	3	1	0	[]	0	0	1	6480	0
6.9	0	R	0	Neill Blomkamp|Terri Tatchell	2015	tt1823672	0	178506	Neill Blomkamp	Sharlto Copley|Dev Patel|Hugh Jackman|Sigourney Weaver	Chappie	1	1	0	0	0	feature	0	0	0	16	1	0	[]	1	0	1	7200	0
