,id,title,freq,rating,year,votes,runtime,type,certification,action,comedy,horror,thriller,adventure,mystery,drama,history,sci_fi,crime,romance,music,western,war,biography,fantasy,family,adj_freq,adj_rating,adj_year,adj_votes,adj_runtime,adj_action,adj_comedy,adj_horror,adj_thriller,adj_adventure,adj_mystery,adj_drama,adj_history,adj_sci_fi,adj_crime,adj_romance,adj_music,adj_western,adj_war,adj_biography,adj_fantasy,adj_family,adj_type,adj_certification
408,tt0073486,One Flew Over the Cuckoo's Nest,43,8.7,1975,694845,7980,feature,R,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.161157024793,0.928571428571,0.739726027397,0.503991080176,0.8,0.172576832151,0.234042553191,0.0401891252955,0.276595744681,0.215130023641,0.132387706856,0.31914893617,0.0614657210402,0.16548463357,-0.22695035461,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,0.0921985815603,0.139479905437,0.0567375886525,1.0,1.0
187,tt0167260,The Lord of the Rings: The Return of the King,42,8.9,2003,1242700,12060,feature,PG-13,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.157024793388,1.0,0.876712328767,0.915612546658,0.552380952381,0.172576832151,0.234042553191,0.0401891252955,0.276595744681,-0.784869976359,0.132387706856,0.31914893617,0.0614657210402,0.16548463357,-0.22695035461,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,0.0921985815603,-0.860520094563,0.0567375886525,1.0,0.0
303,tt2582802,Whiplash,42,8.5,2014,424073,6420,feature,R,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.157024793388,0.857142857143,0.72602739726,0.300551177789,0.552380952381,0.172576832151,0.234042553191,0.0401891252955,0.276595744681,0.215130023641,0.132387706856,0.31914893617,0.0614657210402,0.16548463357,-0.22695035461,0.167848699764,-0.978723404255,0.0141843971631,0.0543735224586,0.0921985815603,0.139479905437,0.0567375886525,1.0,1.0
275,tt0120815,Saving Private Ryan,41,8.6,1998,903987,10140,feature,TV-MA,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.152892561983,0.892857142857,0.945205479452,0.661126338124,0.857142857143,-0.827423167849,0.234042553191,0.0401891252955,0.276595744681,0.215130023641,0.132387706856,0.31914893617,0.0614657210402,0.16548463357,-0.22695035461,0.167848699764,0.0212765957447,0.0141843971631,-0.945626477541,0.0921985815603,0.139479905437,0.0567375886525,1.0,0.0
379,tt0120737,The Lord of the Rings: The Fellowship of the Ring,41,8.8,2001,1265205,10680,feature,PG-13,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.152892561983,0.964285714286,0.904109589041,0.932521292773,0.771428571429,0.172576832151,0.234042553191,0.0401891252955,0.276595744681,-0.784869976359,0.132387706856,0.31914893617,0.0614657210402,0.16548463357,-0.22695035461,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,0.0921985815603,-0.860520094563,0.0567375886525,1.0,0.0
373,tt1130884,Shutter Island,39,8.1,2010,809070,8280,feature,R,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.144628099174,0.714285714286,0.780821917808,0.589812076624,0.847619047619,0.172576832151,0.234042553191,0.0401891252955,-0.723404255319,0.215130023641,-0.867612293144,-0.68085106383,0.0614657210402,0.16548463357,-0.22695035461,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,0.0921985815603,0.139479905437,0.0567375886525,1.0,1.0
200,tt0081505,The Shining,39,8.4,1980,626536,8520,feature,R,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.144628099174,0.821428571429,0.808219178082,0.452668283535,0.885714285714,0.172576832151,0.234042553191,-0.959810874704,0.276595744681,0.215130023641,0.132387706856,0.31914893617,0.0614657210402,0.16548463357,-0.22695035461,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,0.0921985815603,0.139479905437,0.0567375886525,1.0,1.0
371,tt0108052,Schindler's List,39,8.9,1993,886161,11700,feature,R,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.144628099174,1.0,0.986301369863,0.647733078481,0.609523809524,0.172576832151,0.234042553191,0.0401891252955,0.276595744681,0.215130023641,0.132387706856,0.31914893617,-0.93853427896,0.16548463357,-0.22695035461,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,-0.90780141844,0.139479905437,0.0567375886525,1.0,1.0
154,tt0118715,The Big Lebowski,38,8.2,1998,550855,7020,feature,R,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.140495867769,0.75,0.945205479452,0.395806661017,0.647619047619,0.172576832151,-0.765957446809,0.0401891252955,0.276595744681,0.215130023641,0.132387706856,-0.68085106383,0.0614657210402,0.16548463357,0.77304964539,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,0.0921985815603,0.139479905437,0.0567375886525,1.0,1.0
31,tt0266697,Kill Bill: Vol. 1,37,8.1,2003,752649,6660,feature,R,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136363636364,0.714285714286,0.876712328767,0.547421125076,0.590476190476,-0.827423167849,0.234042553191,0.0401891252955,-0.723404255319,0.215130023641,0.132387706856,-0.68085106383,0.0614657210402,0.16548463357,-0.22695035461,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,0.0921985815603,0.139479905437,0.0567375886525,1.0,1.0
361,tt0071562,The Godfather: Part II,35,9.0,1974,810622,12120,feature,R,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.128099173554,0.964285714286,0.72602739726,0.59097814523,0.542857142857,0.172576832151,0.234042553191,0.0401891252955,0.276595744681,0.215130023641,0.132387706856,0.31914893617,0.0614657210402,0.16548463357,0.77304964539,0.167848699764,0.0212765957447,0.0141843971631,0.0543735224586,0.0921985815603,0.139479905437,0.0567375886525,1.0,1.0
