rating	family	certification	fantasy	writers_summary	year	id	biography	votes	directors_summary	cast_summary	title	sci_fi	crime	romance	music	comedy	type	war	horror	adventure	freq	thriller	mystery	creators	drama	history	action	runtime	western
8	0	PG-13	0	[<Person: u'Steve Conrad' (u'nm0175726')>]	2006	tt0454921	1	346605	[<Person: u'Gabriele Muccino' (u'nm0610831')>]	[<Person: u'Will Smith' (u'nm0000226')>, <Person: u'Thandie Newton' (u'nm0628601')>, <Person: u'Jaden Smith' (u'nm1535523')>, <Person: u'Brian Howe' (u'nm0397788')>]	The Pursuit of Happyness	0	0	0	0	0	feature	0	0	0	9	0	0	[]	1	0	0	7020	0
7.8	0	R	0	[<Person: u'Michael Arndt' (u'nm1578335')>]	2006	tt0449059	0	362213	[<Person: u'Jonathan Dayton' (u'nm0206760')>, <Person: u'Valerie Faris' (u'nm0267512')>]	[<Person: u'Steve Carell' (u'nm0136797')>, <Person: u'Toni Collette' (u'nm0001057')>, <Person: u'Greg Kinnear' (u'nm0001427')>, <Person: u'Abigail Breslin' (u'nm1113550')>]	Little Miss Sunshine	0	0	0	0	1	feature	0	0	0	10	0	0	[]	1	0	0	6060	0
8.1	0	R	0	[<Person: u'Guillermo Arriaga' (u'nm0037247')>]	2000	tt0245712	0	177059	[<Person: u'Alejandro G. I\xf1\xe1rritu' (u'nm0327944')>]	[<Person: u'Emilio Echevarr\xeda' (u'nm0248408')>, <Person: u'Gael Garc\xeda Bernal' (u'nm0305558')>, <Person: u'Goya Toledo' (u'nm0865949')>, <Person: u'\xc1lvaro Guerrero' (u'nm0346270')>]	Amores Perros	0	0	0	0	0	feature	0	0	0	7	1	0	[]	1	0	0	9240	0
7.9	0	R	0	[<Person: u'Edwin Torres' (u'nm0868620')>, <Person: u'David Koepp' (u'nm0462895')>]	1993	tt0106519	0	165604	[<Person: u'Brian De Palma' (u'nm0000361')>]	[<Person: u'Al Pacino' (u'nm0000199')>, <Person: u'Sean Penn' (u'nm0000576')>, <Person: u'Penelope Ann Miller' (u'nm0000542')>, <Person: u'John Leguizamo' (u'nm0000491')>]	Carlito's Way	0	1	0	0	0	feature	0	0	0	4	0	0	[]	1	0	0	8640	0
7.7	1	TV-14	1	[<Person: u'Henry Selick' (u'nm0783139')>, <Person: u'Neil Gaiman' (u'nm0301274')>]	2009	tt0327597	0	148745	[<Person: u'Henry Selick' (u'nm0783139')>]	[<Person: u'Dakota Fanning' (u'nm0266824')>, <Person: u'Teri Hatcher' (u'nm0000159')>, <Person: u'John Hodgman' (u'nm1894655')>, <Person: u'Jennifer Saunders' (u'nm0766837')>]	Coraline	0	0	0	0	0	feature	0	0	0	5	0	0	[]	0	0	0	6000	0
8.5	0	PG-13	0	[<Person: u'Jonathan Nolan' (u'nm0634300')>, <Person: u'Christopher Nolan' (u'nm0634240')>]	2012	tt1345836	0	1171166	[<Person: u'Christopher Nolan' (u'nm0634240')>]	[<Person: u'Christian Bale' (u'nm0000288')>, <Person: u'Tom Hardy' (u'nm0362766')>, <Person: u'Anne Hathaway' (u'nm0004266')>, <Person: u'Gary Oldman' (u'nm0000198')>]	The Dark Knight Rises	0	0	0	0	0	feature	0	0	0	22	1	0	[]	0	0	1	9840	0
8.6	0	PG-13	0	[<Person: u'Jonathan Nolan' (u'nm0634300')>, <Person: u'Christopher Nolan' (u'nm0634240')>]	2014	tt0816692	0	967588	[<Person: u'Christopher Nolan' (u'nm0634240')>]	[<Person: u'Matthew McConaughey' (u'nm0000190')>, <Person: u'Anne Hathaway' (u'nm0004266')>, <Person: u'Jessica Chastain' (u'nm1567113')>, <Person: u'Mackenzie Foy' (u'nm3237775')>]	Interstellar	1	0	0	0	0	feature	0	0	1	45	0	0	[]	1	0	0	10140	0
8.5	0	R	0	[<Person: u'John Milius' (u'nm0587518')>, <Person: u'Francis Ford Coppola' (u'nm0000338')>]	1979	tt0078788	0	460057	[<Person: u'Francis Ford Coppola' (u'nm0000338')>]	[<Person: u'Martin Sheen' (u'nm0000640')>, <Person: u'Marlon Brando' (u'nm0000008')>, <Person: u'Robert Duvall' (u'nm0000380')>, <Person: u'Frederic Forrest' (u'nm0002078')>]	Apocalypse Now	0	0	0	0	0	feature	1	0	0	25	0	0	[]	1	0	0	9180	0
8.3	0	Not Rated	0	[<Person: u'Akira Kurosawa' (u'nm0000041')>, <Person: u'Shinobu Hashimoto' (u'nm0368074')>]	1952	tt0044741	0	43527	[<Person: u'Akira Kurosawa' (u'nm0000041')>]	[<Person: u'Takashi Shimura' (u'nm0793766')>, <Person: u'Nobuo Kaneko' (u'nm0437520')>, <Person: u"Shin'ichi Himori" (u'nm0385443')>, <Person: u'Haruo Tanaka' (u'nm0848984')>]	Ikiru	0	0	0	0	0	feature	0	0	0	4	0	0	[]	1	0	0	8580	0
8	0	R	0	[<Person: u'David Seidler' (u'nm0782436')>]	2010	tt1504320	1	515807	[<Person: u'Tom Hooper' (u'nm0393799')>]	[<Person: u'Colin Firth' (u'nm0000147')>, <Person: u'Geoffrey Rush' (u'nm0001691')>, <Person: u'Helena Bonham Carter' (u'nm0000307')>, <Person: u'Derek Jacobi' (u'nm0001394')>]	The King's Speech	0	0	0	0	0	feature	0	0	0	10	0	0	[]	1	1	0	7080	0
