title,freq
tt0318462,1
tt3659388,20
tt0266697,14
tt1038686,1
tt1396226,1
tt0387131,1
tt0338135,1
tt1570577,1
tt1832382,2
tt0256009,1
tt0368709,1
tt2316411,7
tt1980929,3
tt3038142,1
tt0118531,1
tt0499549,9
tt1571222,1
tt0104431,2
tt1559549,1
tt3877718,1
tt2436386,2
tt1201607,5
tt0800039,2
tt0073195,2
tt0058461,1
tt1457767,7
tt0494271,1
tt0479884,1
tt2205401,1
tt1931533,2
tt0404390,1
tt1932718,1
tt0477071,1
tt0105236,29
tt0362225,4
tt0362227,2
tt1187064,9
tt1991245,1
tt0058997,2
tt4326444,1
tt2785032,2
tt0421238,1
tt0034583,6
tt2488496,8
tt1244658,1
tt0479500,1
tt1821368,1
tt0266987,1
tt0845046,1
tt0489270,2
tt0043915,1
tt0137523,96
tt1939659,3
tt2650642,1
tt1646980,1
tt2637276,3
tt0120891,1
tt0120890,1
tt0276617,1
tt1734477,1
tt1515091,11
tt0945513,22
tt0139654,2
tt0898367,5
tt0103874,2
tt0107808,1
tt1148204,8
tt1862079,1
tt1386697,3
tt0790686,1
tt1083452,1
tt0309987,4
tt0837562,1
tt0096874,1
tt2139555,1
tt3631112,1
tt2115295,1
tt0120762,1
tt0469494,14
tt0454876,16
tt1735898,1
tt3498820,3
tt0145487,3
tt0840361,13
tt1877832,9
tt3063516,2
tt0120382,28
tt0780504,14
tt0822832,1
tt0852713,1
tt0106226,5
tt0142342,1
tt1460743,1
tt0237534,1
tt0099422,1
tt1069238,1
tt0365748,3
tt0203082,1
tt1740707,2
tt1067765,1
tt1124035,3
tt2305051,2
tt0086320,1
tt1152836,1
tt0117500,1
tt2140479,1
tt0049406,1
tt0059800,1
tt1895587,11
tt0478304,8
tt0117509,7
tt1295085,1
tt2901736,1
tt1173745,1
tt0276919,6
tt0080678,3
tt0092610,1
tt0330229,1
tt0104779,1
tt0899106,1
tt1263778,1
tt0074860,1
tt0483719,1
tt0462322,1
tt0431021,1
tt0031022,1
tt2140619,1
tt3316948,2
tt0415965,1
tt0199772,1
tt3499096,1
tt0245712,2
tt0315733,9
tt1486192,1
tt1686821,1
tt0013442,1
tt0307901,1
tt0100502,1
tt0107207,3
tt2784462,1
tt1093824,1
tt0121164,1
tt0091149,1
tt2322158,1
tt1624391,1
tt0075686,4
tt1000774,1
tt0097904,1
tt1617661,1
tt0343737,1
tt0356470,1
tt1499658,3
tt0333766,3
tt0127626,1
tt0824747,4
tt0101746,1
tt0113627,1
tt2034031,1
tt0795421,1
tt0093815,1
tt1714866,1
tt3508840,1
tt1368440,1
tt1441326,1
tt2802850,2
tt0382625,4
tt0121766,1
tt0121765,1
tt1772250,2
tt3464902,4
tt0118749,2
tt0312004,1
tt1213648,1
tt0112462,1
tt0112461,7
tt1386703,1
tt0208502,1
tt1234654,2
tt1149362,2
tt1547234,1
tt0258967,1
tt0369339,4
tt2788732,1
tt0418763,3
tt0156741,1
tt0792965,1
tt0792966,1
tt1732676,1
tt0368794,1
tt1714915,3
tt2661044,1
tt3590338,1
tt0369441,1
tt0076070,1
tt0499570,1
tt2442488,1
tt0286106,1
tt1928340,1
tt3960412,1
tt1935156,1
tt0970866,1
tt0399201,3
tt0062622,18
tt0426883,1
tt0093148,1
tt2304953,1
tt0383574,2
tt0421357,1
tt1489889,2
tt0425210,8
tt0057680,3
tt0076101,1
tt0098635,1
tt1323045,5
tt0808151,6
tt0053125,2
tt0910970,14
tt1553656,1
tt1242460,4
tt1591095,6
tt2192016,1
tt0081059,2
tt0861689,2
tt0082010,1
tt1647668,2
tt0105226,1
tt0234215,2
tt2005374,1
tt0246460,1
tt0914863,1
tt1178663,1
tt2321549,4
tt0107818,3
tt0238380,2
tt0240890,1
tt2660734,1
tt1600524,2
tt0243017,2
tt0884328,2
tt2479800,2
tt3149038,1
tt2023587,1
tt0364517,2
tt1164999,3
tt2869728,2
tt0842926,3
tt0083694,1
tt0112817,1
tt0802948,1
tt0110365,1
tt0449467,4
tt0160009,1
tt2364841,2
tt0134154,1
tt0183649,4
tt0120176,1
tt0902955,1
tt0243655,1
tt0435651,1
tt0087843,4
tt1028528,2
tt0384806,1
tt0071853,1
tt2396224,2
tt0070511,2
tt0322420,1
tt2562232,13
tt3605418,1
tt0101917,1
tt1628841,1
tt0291579,1
