title,freq
tt5636934,1
tt1524930,2
tt1083448,1
tt1028532,3
tt1067583,8
tt0106489,1
tt0110737,1
tt2015381,5
tt0327679,1
tt4172430,1
tt0117705,1
tt0448694,4
tt3205802,1
tt0097757,1
tt1151410,1
tt0417349,3
tt0243736,2
tt1951166,1
tt1032815,1
tt1690953,3
tt3774114,1
tt1235522,1
tt0102926,8
tt3316960,5
tt0328107,2
tt0114898,1
tt0481536,1
tt0245429,6
tt1790885,2
tt1790886,2
tt1723811,8
tt0452594,4
tt1723816,1
tt1232829,13
tt1313092,1
tt0058331,4
tt0976238,1
tt1703199,1
tt0117381,4
tt0486583,1
tt0060176,1
tt0068646,6
tt0071129,1
tt0088847,10
tt0397065,1
tt0079470,4
tt0091167,1
tt2012383,1
tt0165798,1
tt0825232,4
tt1570728,245
tt3410834,1
tt0101761,1
tt0064276,1
tt2224026,2
tt0361862,2
tt0373450,1
tt4635372,1
tt1341188,1
tt1065073,6
tt1583420,4
tt2268016,4
tt0094898,2
tt1616195,5
tt0493464,6
tt0086541,1
tt1568346,22
tt1661382,1
tt1270262,3
tt0206275,2
tt0485851,2
tt0112800,1
tt1814836,1
tt0348836,1
tt0783233,5
tt0372183,1
tt0432283,1
tt0383216,1
tt0465436,1
tt1638002,33
tt1924435,2
tt1306980,29
tt0112641,2
tt1535108,1
tt1742336,3
tt0108525,1
tt1034389,1
tt2369135,3
tt0217630,1
tt0213338,1
tt1535101,1
tt0770752,2
tt1188113,1
tt1893256,2
tt1551632,1
tt4800046,1
tt0122459,1
tt2101569,9
tt2962876,2
tt2357129,1
tt1015999,1
tt0386676,2
tt1407061,1
tt0115736,1
tt0115734,1
tt1920849,3
tt3165612,5
tt2069311,1
tt2042568,1
tt3061830,1
tt0453365,1
tt2132285,2
tt0452694,7
tt2388725,1
tt1835977,1
tt0404030,1
tt0208092,3
tt2304933,2
tt0158714,1
tt1531901,1
tt1340138,1
tt1605717,1
tt0460649,3
tt0152930,1
tt0401711,1
tt2467372,1
tt0328589,2
tt1766094,2
tt1126591,2
tt1126590,1
tt0137007,1
tt2118624,1
tt0473308,3
tt0126029,4
tt0363163,1
tt0159273,1
tt0120783,3
tt1068641,1
tt1540133,6
tt1119646,16
tt1119644,1
tt1498569,1
tt2278871,4
tt0088247,1
tt0088794,1
tt0256415,6
tt0841150,1
tt0408839,3
tt0376994,2
tt1598778,11
tt0286499,6
tt0289879,3
tt1659337,29
tt0290002,4
tt0061418,1
tt0804522,1
tt1117523,2
tt0163651,1
tt0815244,2
tt1408253,1
tt1135985,3
tt0035423,3
tt0454848,3
tt0107034,1
tt0265666,1
tt4158110,2
tt0029583,1
tt3228420,1
tt2334879,3
tt0193676,1
tt1529569,2
tt2334873,5
tt1725929,1
tt3385516,3
tt1440129,1
tt1657507,1
tt0780534,1
tt0780536,7
tt0497972,2
tt1334512,2
tt0086200,1
tt1176251,1
tt0478087,5
tt2493486,1
tt0099141,1
tt1860357,1
tt1405365,2
tt1800246,14
tt1334260,6
tt1942147,1
tt1096987,1
tt1800241,10
tt0095705,1
tt1049413,7
tt0914798,1
tt0866437,1
tt0903624,2
tt1075419,1
tt0901476,4
tt1756851,1
tt3715320,4
tt1243957,3
tt4257858,1
tt0117571,1
tt1964624,2
tt0455824,2
tt0395169,4
tt3204144,2
tt0079641,1
tt0227458,1
tt1231587,1
tt1231583,11
tt0300140,2
tt1135503,4
tt1825837,1
tt1032825,1
tt2980472,1
tt0100758,1
tt0095675,1
tt3179568,2
tt2234155,4
tt0905372,2
tt0365960,1
tt0974959,1
tt0112697,17
tt0061184,1
tt0274166,1
tt0458339,15
tt0120791,1
tt0117008,2
tt1637725,10
tt0806029,1
tt0054452,1
tt0125454,1
tt0343135,6
tt0831387,1
tt1292566,9
tt4513674,5
tt1189345,1
tt0259711,1
tt2287715,2
tt1189340,10
tt0490084,2
tt0085959,2
tt0092718,4
tt1148204,1
tt1196956,1
tt0146882,7
tt3228774,1
tt0116629,1
tt0374900,1
tt0085794,1
tt1850457,3
tt2167266,1
tt0033045,1
tt5934922,1
tt0181689,1
tt4523704,1
tt1442462,1
tt0443453,3
tt0305669,1
tt0117951,5
